2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.86, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.85, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.84, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_down)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_down)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_down)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.85, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.85, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_down)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_down)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.85, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.61, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.40, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.54, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.85, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.54, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.65, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.85, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.58, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: SELL (confidence=0.72, market=ranging)
2026-02-28 09:57:05 | INFO     | base:_execute_market_order:221 | Order filled: PAPER-000002 sell 106.631106 AAPL @ 228.5399 (commission=24.3695)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: SELL (confidence=0.64, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.41, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.41, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.76, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.77, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.86, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=high_volatility)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.59, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.74, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.75, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=trending_up)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=0.85, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
2026-02-28 09:57:05 | INFO     | decision:make_decision:187 | Decision for AAPL: HOLD (confidence=1.00, market=ranging)
